_id,itemName,itemId,description,images,avgReview,deletedBy,discount,variants,options,defaultVariant,createdAt,categories,menus
63e396f6cd5c09e5470a8676,hookah,ITM98,,empty,0,null,200,1800,,63e396f6cd5c09e5470a8677,2023-02-08 6:20:02 pm,hookah set,swing new menu
63bd39b76fe65a001d80e513,Alu parautha,ITM97,Aalu parautha is unique and favoruite dish of Nepalese People . It is mostly made with potatoes and onions.,empty,0,null,0,50,,63bd39b76fe65a001d80e514,2023-01-10 3:56:03 pm,restro,Friday Special
63a7ff7e6fe65a001d80bcd6,MOMO 01,ITM96,,empty,0,null,12,138,,63a7ff7e6fe65a001d80bcd7,2022-12-25 1:30:02 pm,no categories,Special Menus pp menu
62f070a84f31f3001ed6e8ce,Burger special,ITM95,,https://restrofiles.sgp1.digitaloceanspaces.com/test/2022-08-08T02-10-47-425Z2022-02-03T10-56-22-285Znoew.jpeg,0,null,20,280,,62f070a84f31f3001ed6e8cf,2022-08-08 7:55:48 am,no categories,Valentine special aus Special Menus Main menu pp menu
62c537cf40e458001ebebd1e,thickrko alu,ITM93,,https://restrofiles.sgp1.digitaloceanspaces.com/test/2022-11-28T17-21-47-762Zimage_picker2691254609312500299.jpg,0,null,25,50,,62c537cf40e458001ebebd1f,2022-07-06 1:05:47 pm,RUM,swing new menu Special Menus pp menu
62b955c2c3be83001e145b6e,thakali khana,ITM92,,empty,0,null,,345,,62b955c2c3be83001e145b6f,2022-06-27 12:46:22 pm,Dinner,Special Menus pp menu
62aafef9585dc1001e5414eb,Chicken sandwich,ITM91,tasty,https://restrofiles.sgp1.digitaloceanspaces.com/test/2022-06-21T04-29-19-294Zmerlin_189026502_58171dd4-b0bc-47c3-aa6a-d910a3f1de4c-articleLarge.jpeg,0,null,12,438,,62aafef9585dc1001e5414ec,2022-06-16 3:44:21 pm,Fresh juice and shakes,Holi Menu Special Menus Main menu pp menu
629e242382aa5a001ebb1d8d,Vodka 60 ml,ITM87,,https://restrofiles.sgp1.digitaloceanspaces.com/test/2022-06-09T08-50-33-234ZVodka%2060%20ml.jpg,0,null,25,225,,629e242382aa5a001ebb1d8e,2022-06-06 9:43:27 pm,Fresh juice and shakes,Special Menus Happy Hour Menu Main menu pp menu
6294391f328e2d001eaf2f94,MOMO,ITM83,momo mitho,https://restrofiles.sgp1.digitaloceanspaces.com/test/2022-06-09T06-26-21-758Zmomo.jpg,0,null,12,111,,6294391f328e2d001eaf2f95,2022-05-30 9:10:19 am,Fresh juice and shakes,Special Menus Main menu Happy Hour Menu New Year Special pp menu
6278ae94e14b74001e4c3062,spaghetti,ITM81,hey hey boi...,https://restrofiles.sgp1.digitaloceanspaces.com/test/2022-06-09T06-48-25-729Zspaghetti.jpg,0,null,10,240,,6278ae94e14b74001e4c3063,2022-05-09 11:48:01 am,Noodles Signature Pizza Salad Fresh juice and shakes,Special Menus Main menu Happy Hour Menu New Year Special pp menu
6256e6faf49414001e424f00,burger,ITM79,its a chicken burger
enjoy😊,https://restrofiles.sgp1.digitaloceanspaces.com/test/2022-06-09T05-23-44-179ZMoist-Chicken-Burgers.jpeg,0,null,20,180,,6256e6faf49414001e424f01,2022-04-13 8:51:34 pm,Fresh juice and shakes,Main menu Special Menus Happy Hour Menu New Year Special pp menu
6256baeff49414001e424eea,grilled fish,ITM78,test,https://restrofiles.sgp1.digitaloceanspaces.com/test/2022-06-09T06-51-34-647ZGrill%20Fish.jpg,0,null,10,250,,6256baeff49414001e424eeb,2022-04-13 5:43:39 pm,Fresh juice and shakes,Main menu Special Menus Happy Hour Menu New Year Special pp menu
